Items,Anchorage International Airport,Atlanta International Airport,Bush Intercontinental Airport,Dallas/Fort Worth International Airport,Denver International Airport,Mccarran International Airport,Orlando International Airport,Phoenix Sky Harbor International Airport,Salt Lake City International Airport,Seattle/Tacoma International Airport,Grand Total
Ammunition,85,81,74,107,114,28,59,65,74,51,738
BB/Paint/Flare/Spear/Pellet Guns,1,2,5,3,1,2,5,2,4,1,26
Bio/Chem/Radio Agent,0,0,0,0,0,0,0,0,0,1,1
Bludgeoning,6,4,1,1,18,54,37,75,13,7,216
"Cutting ltems (knives. razors, box cutters, saber, etc )",19,12,33,32,97,38,13,82,52,67,445
Explosive Device,1,0,1,0,1,2,,1,0,0,6
Firearms,55,172,103,148,148,41,75,107,79,89,1017
Fireworks,2,0,2,1,8,5,17,7,16,13,71
Flares,7,0,0,2,2,0,0,0,2,1,14
Fuel/Gasoline/Paint Thinner,32,0,0,1,5,0,0,0,1,3,42
Hand Granades (real and inert),1,5,1,5,11,15,3,3,5,1,50
Mace/Pepper Spray,68,1,0,1,4,0,0,201,23,12,310
Martial Arts/Self Defense Items,14,10,6,20,211,77,29,53,72,18,510
Part of Firearms or Ammunition,131,171,185,308,331,362,163,267,187,213,2318
Realistic Replicas of Firearms,7,3,2,10,6,43,4,12,2,7,96
Stun Guns/Shocking Devices,5,27,17,81,49,62,17,37,19,12,326
