the_geom,f_code,iko,ita,name,use,zv3,cartodb_id,created_at,updated_at
0101000020E6100000780DFAD2DBAE53C003098A1F63784540,GB005,KBUF,BUF,BUFFALO NIAGARA INTERNATIONAL AIRPORT,23,222,744,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000005CCAF962EF9A5EC0E8853B17463C4840,GB005,KBVS,BVS,SKAGIT REGIONAL AIRPORT,0,44,69,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000003FBFEFDFBCBE5AC0C423F1F274624640,GB005,KSHR,SHR,SHERIDAN COUNTY AIRPORT,0,1226,468,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000008C31B08EE30252C09EEC66463FAA4440,GB005,KGON,GON,GROTON-NEW LONDON AIRPORT,0,3,1,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000C095ECD808885CC0F39194F430204740,GB005,K6S5,6S5,RAVALLI COUNTY AIRPORT,0,1110,2,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000DB0DA2B5A2895DC094A2957B81874140,GB005,KMHV,MHV,MOJAVE AIRPORT,0,854,3,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000404CC2853C3E5DC02C9E7AA4C1694040,GB005,KSEE,SEE,GILLESPIE FIELD AIRPORT,0,118,4,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000005B5CE333D91754C06072A3C85A7F3B40,GB005,KFPR,FPR,ST LUCIE COUNTY INTERNATIONAL AIRPORT,23,7,5,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000005B785E2A362655C0535BEA20AF014140,GB005,KRYY,RYY,COBB COUNTY-MC COLLUM FIELD,0,317,6,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000E736E15E993A56C0751DAA29C9CC4140,GB005,KMKL,MKL,MC KELLAR-SIPES REGIONAL AIRPORT,0,132,7,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000023A0C211A4835EC018778368ADFE4240,GB005,KCCR,CCR,BUCHANAN FIELD AIRPORT,0,8,8,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000048E17A14AE6353C079008BFCFA894340,GB005,KJYO,JYO,LEESBURG EXECUTIVE AIRPORT,0,119,9,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000042AF3F89CF5A55C03A419B1C3E234640,GB005,KCAD,CAD,WEXFORD COUNTY AIRPORT,0,398,10,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000068CC24EA050252C0919C4CDC2AA04440,GB005,K0B8,0B8,ELIZABETH FIELD AIRPORT,0,3,11,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000023F433F5BA3E5DC050357A3540494040,GB005,KSDM,SDM,BROWN FIELD MUNICIPAL AIRPORT,4,160,12,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000AF5B04C6FAB857C06058FE7C5B6A4340,GB005,KIXD,IXD,NEW CENTURY AIRCENTER AIRPORT,0,331,13,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000C281902C60DF5CC00A11700855244840,GB005,KS59,S59,LIBBY AIRPORT,0,793,14,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000027D2FD9C82F655C0C03C64CA87E24540,GB005,KSBM,SBM,SHEBOYGAN COUNTY MEMORIAL AIRPORT,0,230,15,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000008C31B08EE3125CC06C5A290472C34040,GB005,KGEU,GEU,GLENDALE MUNICIPAL AIRPORT,4,326,16,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000068B0A9F3A80963C054AD855968F14F40,GB005,PAMH,MHM,MINCHUMINA AIRPORT,0,207,17,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000006891ED7C3F7754C04E7974232C963A40,GB005,KFMY,FMY,PAGE FIELD AIRPORT,0,5,18,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000088A06AF46ABA59C0FCA9F1D24DEA3E40,GB005,KFST,FST,FORT STOCKTON-PECOS COUNTY AIRPORT,0,918,19,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000045F5D6C0D6AB62C004C93B8732495040,GB005,UNK,51Z,MINTO AL WRIGHT AIRPORT,0,140,20,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000007973B8567B1A53C07731CD74AFA94340,GB005,KMTN,MTN,MARTIN STATE AIRPORT,0,6,21,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000003143E389205F54C010CEA78E55C84440,GB005,KCGF,CGF,CUYAHOGA COUNTY AIRPORT,0,268,22,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000002A91442FA3A063C00D6E6B0BCF5D4D40,GB005,PFWS,WSN,NAKNEK AIRPORT,0,21,23,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000009D060C923E6F55C08233F8FBC52E4340,GB005,KJVY,JVY,CLARK REGIONAL AIRPORT,0,144,24,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000E156410C74345DC05D8C81751CE34740,GB005,KCOE,COE,COEUR D'ALENE AIR TERMINAL,0,707,25,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000006CACC43C2B1B65C021AD31E884784A40,GB005,PAKO,IKO,NIKOLSKI AS AIRPORT,0,23,26,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000139CFA40F2865AC0D0E638B7096D4040,GB005,KHMN,HMN,HOLLOMAN AIR FORCE BASE,8,1248,27,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000040498105308154C05C751DAA29FD3B40,GB005,KLAL,LAL,LAKELAND LINDER REGIONAL AIRPORT,0,43,28,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000008DD2A57F494354C02A8D98D9E7B93840,GB005,KMTH,MTH,THE FLORIDA KEYS MARATHON AIRPORT,0,2,29,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000047E6913F185055C0E063B0E254274540,GB005,KBTL,BTL,W K KELLOGG AIRPORT,0,290,30,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000E0BDA3C684FD64C05837DE1D19645040,GB005,PATC,TNC,TIN CITY LRRS AIRPORT,0,83,31,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000088D9CBB6D3645BC0B75F3E59310E4240,GB005,KE91,E91,CHINLE MUNICIPAL AIRPORT,4,1691,32,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000F94B8BFA249251C098DEFE5C34064640,GB005,KLEW,LEW,AUBURN/LEWISTON MUNICIPAL AIRPORT,4,88,33,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000F6D1A92B1FB362C04F7974232C955140,GB005,PAKU,UBW,UGNU-KUPARUK AIRPORT,0,20,34,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000024B726DD966153C0E5D3635B06B44240,GB005,KFCI,FCI,CHESTERFIELD COUNTY AIRPORT,0,72,35,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000B742588D250151C0643BDF4F8D6F4740,GB005,KCAR,CAR,CARIBOU MUNICIPAL AIRPORT,4,191,36,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000842D76FBACB763C0C68B852172B64C40,GB005,UNK,UGB,UGASHIK BAY AIRPORT,0,40,37,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000057EA5910CA705BC06552431B80454840,GB005,KHVR,HVR,HAVRE CITY-COUNTY AIRPORT,0,790,38,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000006A865451BC8955C0EE5D83BEF4524440,GB005,KGUS,GUS,GRISSOM AIR RESERVE BASE,0,248,39,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000000C3ECDC98BF755C0F5D6C05609364540,GB005,KUGN,UGN,WAUKEGAN REGIONAL AIRPORT,0,222,40,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000016D9CEF7535955C00D198F52091F4440,GB005,KMIE,MIE,DELAWARE COUNTY REGIONAL AIRPORT,0,286,41,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000213A048E04EA57C09DEFA7C64B9F3D40,GB005,KSGR,SGR,SUGAR LAND REGIONAL AIRPORT,0,25,42,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000008350DEC7510463C0B587BD50C0575140,GB005,PAUM,UMT,UMIAT AIRPORT,0,81,43,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000F818AC38D59263C00C022B8716E54E40,GB005,UNK,SRV,STONY RIVER 2 AIRPORT,0,70,44,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000CB0F5CE5892E62C00F5B7A34D5134F40,GB005,PAGK,GKN,GULKANA AIRPORT,0,483,45,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000417DCB9C2E8263C0E04DB7EC107F4F40,GB005,UNK,TCT,TAKOTNA AIRPORT,0,251,46,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000A435069D10A154C070B0373124694440,GB005,KMFD,MFD,MANSFIELD LAHM REGIONAL AIRPORT,0,395,47,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000062D9CC21A9335AC0BB2A508BC1914740,GB005,KGDV,GDV,DAWSON COMMUNICIPALTY AIRPORT,4,749,48,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000004B395FECBDDA51C0029EB47059C94540,GB005,KLCI,LCI,LACONIA MUNICIPAL AIRPORT,4,166,49,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000008FAB915D696958C01CCD91955FC44140,GB005,KPWA,PWA,WILEY POST AIRPORT,0,396,50,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000522635B481C462C0DC68006F81605040,GB005,UNK,RMP,RAMPART AIRPORT,0,92,51,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000092AD2EA7046256C0FA743C66A08E4540,GB005,KC29,C29,MIDDLETON MUNICIPAL - MOREY FIELD AIRPORT,4,283,52,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000023111AC1C69A56C094BF7B478D853E40,GB005,KHDC,HDC,HAMMOND NORTHSHORE REGIONAL AIRPORT,0,14,53,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000070B2769FEEA55C06AA510C8254A3E40,GB005,KJKA,JKA,JACK EDWARDS AIRPORT,0,5,54,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000CEA8F92AF95B54C0402FDCB9304A3C40,GB005,KISM,ISM,KISSIMMEE GATEWAY AIRPORT,0,25,55,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000032FFE89B34AF57C01903EB387E6C4340,GB005,KOJC,OJC,JOHNSON COUNTY EXECUTIVE AIRPORT,0,334,56,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000002D776682E1B55CC05A677C5F5CA64340,GB005,KELY,ELY,ELY AIRPORT /YELLAND FIELD/ AIRPORT,0,1908,57,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000003672DD94F2B05EC0986E1283C0BE4740,GB005,KPWT,PWT,BREMERTON NATIONAL AIRPORT,0,135,58,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000D22EA699EE085EC058ACE122F7A84340,GB005,KTRK,TRK,TRUCKEE-TAHOE AIRPORT,0,1798,59,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000F1F62004E4125DC0E6E786A6EC5C4840,GB005,K65S,65S,BOUNDARY COUNTY AIRPORT,0,712,60,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000004EECA17DACC454C05B785E2A360A4440,GB005,KOSU,OSU,OHIO STATE UNIVERSITY AIRPORT,0,276,61,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000008081204086EE5AC023D8B8FE5DC34340,GB005,KRIL,RIL,GARFIELD COUNTY REGIONAL AIRPORT,0,1691,62,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000775F950B955F5EC064247B849A414340,GB005,KSAC,SAC,SACRAMENTO EXECUTIVE AIRPORT,0,7,63,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000001E85EB51B8785AC046CD57C9C7364740,GB005,KMLS,MLS,FRANK WILEY FIELD AIRPORT,0,802,64,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000079E92631082E54C0868C47A9843D4040,GB005,KNBC,NBC,BEAUFORT MARINE CORPS AIR STATION,8,11,65,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000039799109F8D052C02CAF5C6F9B114440,GB005,KLOM,LOM,WINGS FIELD AIRPORT,0,92,66,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000032B08EE387FB53C0B95510035D2D4440,GB005,KAGC,AGC,ALLEGHENY COUNTY AIRPORT,0,382,67,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000681B7FA2B27756C0FE47A643A7AD4140,GB005,KNQA,NQA,MILLINGTON REGIONAL AIRPORT,0,98,68,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000247CEF6FD04C5EC0FED137691A0C4640,GB005,KBDN,BDN,BEND MUNICIPAL AIRPORT,4,1055,70,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000ECBFCE4D1BAF63C0593673486AAD4D40,GB005,UNK,KEK,EKWOK AIRPORT,0,41,71,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000008FDD054A0A5954C0ED23B726DD263F40,GB005,KSSI,SSI,MALCOLM MC KINNON AIRPORT,0,6,72,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000EB39E97DE30464C002D369DD06B15040,GB005,PASK,WLK,ROLAND NORTON MEMORIAL AIRSTRIP,0,110,73,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000728BF9B9212564C075C58CF0F6004C40,GB005,PAOU,OUL,NELSON LAGOON AIRPORT,0,4,74,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000691B7FA2B21B54C02A70B20DDCA53940,GB005,KTMB,TMB,KENDALL-TAMIAMI EXECUTIVE AIRPORT,0,2,75,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000003CF4DDAD2C9E55C0B367CF656A663E40,GB005,KDTS,DTS,DESTIN-FORT WALTON BEACH AIRPORT,0,7,76,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000003B1A87FA5D2155C0E204A6D3BAE34040,GB005,KFTY,FTY,FULTON COUNTY AIRPORT-BROWN FIELD,0,256,77,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000B5E1B034700262C05BB39597FC745040,GB005,PACR,CRC,CIRCLE CITY /NEW/ AIRPORT,0,187,78,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000037A8FDD64E5554C035255987A38B3C40,GB005,KORL,ORL,EXECUTIVE AIRPORT,0,34,79,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000BD8BF7E3F6915EC00ADAE4F0491B4340,GB005,KAPC,APC,NAPA COUNTY AIRPORT,0,11,80,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000008EE6C8CA2F0054C05C0531D0B5594040,GB005,KJZI,JZI,CHARLESTON EXECUTIVE AIRPORT,0,5,81,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000007E33315D883558C08C9FC6BDF97B4040,GB005,KADS,ADS,ADDISON AIRPORT,0,196,82,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000D24F38BB35AB63C09961A3ACDFE44E40,GB005,UNK,RDV,RED DEVIL AIRPORT,0,53,83,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000B83F170D99C665C04CFA7B293C1C4A40,GB005,PAAK,AKA,ATKA AIRPORT,0,17,84,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000C6DB4AAFCD645AC01171732A190C4840,GB005,KOLF,OLF,L M CLAYTON AIRPORT,0,605,85,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000007FA4880CAB1C57C035F10EF0A48D4440,GB005,KOTM,OTM,OTTUMWA REGIONAL AIRPORT,0,258,86,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000000ADE904605925EC0D672672618F44740,GB005,KPAE,PAE,SNOHOMISH COUNTY (PAINE FIELD) AIRPORT,0,185,87,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000D190F12815A063C0EE0912DBDD594D40,GB005,PFWS,WSN,SOUTH NAKNEK NR 2 AIRPORT,0,49,88,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000D8F0F44A595D57C076C24B70EA694640,GB005,KFCM,FCM,FLYING CLOUD AIRPORT,0,276,89,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000000E1438996115DC0B58AFED0CCDF4040,GB005,KUDD,UDD,BERMUDA DUNES AIRPORT,0,22,90,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000067B5C01E134852C0E6E786A6EC944440,GB005,KBDR,BDR,IGOR I SIKORSKY MEMORIAL AIRPORT,0,3,91,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000060200890A1C054C016DC0F7860344540,GB005,KDET,DET,COLEMAN A. YOUNG MUNICIPAL AIRPORT,4,191,92,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000006E88F19A57A75AC033333333331B4840,GB005,KGGW,GGW,WOKAL FIELD/GLASGOW INTERNATIONAL AIRPORT,23,700,93,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E610000066BE839F38BA57C0F52B9D0FCFE24340,GB005,KSTJ,STJ,ROSECRANS MEMORIAL AIRPORT,0,252,94,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000008ACBF10A44B062C0F6B52E3542B54E40,GB005,PABV,BCV,BIRCHWOOD AIRPORT,0,25,95,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000A7203F1BB9855AC09B887E6DFDCE4140,GB005,KSAF,SAF,SANTA FE MUNICIPAL AIRPORT,4,1935,96,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E6100000BC57AD4C784B63C0C381902C60824F40,GB005,PAFS,FSP,NIKOLAI AIRPORT,0,134,97,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000004B72C0AE264E58C0D505BCCCB0DF4240,GB005,KAAO,AAO,COLONEL JAMES JABARA AIRPORT,0,433,98,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
0101000020E61000009F55664AEB7655C010CB660E49CB4040,GB005,KANB,ANB,ANNISTON METROPOLITAN AIRPORT,0,187,99,2014-09-08 10:31:46.559956+00,2014-09-08 10:31:46.559956+00
